COUNTRY	INDICATOR	TYPE_OF_TRANSFORMATION	FREQUENCY	TIME_PERIOD	OBS_VALUE(REER)	SCALE	PRECISION	DECIMALS_DISPLAYED	DERIVATION_TYPE	OVERLAP	IFS_FLAG	STATUS	METHODOLOGY	ACCESS_SHARING_LEVEL	SECURITY_CLASSIFICATION
Pakistan	Domestic currency per US Dollar	Period average	Annual	1980	9.9	Units			Raw data (no derivation)	Overlapping Indicator	TRUE			Public (Unrestricted)	Public or Unrestricted
Pakistan	Domestic currency per US Dollar	Period average	Annual	1981	9.9	Units			Raw data (no derivation)	Overlapping Indicator	TRUE			Public (Unrestricted)	Public or Unrestricted
Pakistan	Domestic currency per US Dollar	Period average	Annual	1982	11.84746667	Units			Raw data (no derivation)	Overlapping Indicator	TRUE			Public (Unrestricted)	Public or Unrestricted
Pakistan	Domestic currency per US Dollar	Period average	Annual	1983	13.116975	Units			Raw data (no derivation)	Overlapping Indicator	TRUE			Public (Unrestricted)	Public or Unrestricted
Pakistan	Domestic currency per US Dollar	Period average	Annual	1984	14.04633333	Units			Raw data (no derivation)	Overlapping Indicator	TRUE			Public (Unrestricted)	Public or Unrestricted
Pakistan	Domestic currency per US Dollar	Period average	Annual	1985	15.92839167	Units			Raw data (no derivation)	Overlapping Indicator	TRUE			Public (Unrestricted)	Public or Unrestricted
Pakistan	Domestic currency per US Dollar	Period average	Annual	1986	16.64750833	Units			Raw data (no derivation)	Overlapping Indicator	TRUE			Public (Unrestricted)	Public or Unrestricted
Pakistan	Domestic currency per US Dollar	Period average	Annual	1987	17.3988	Units			Raw data (no derivation)	Overlapping Indicator	TRUE			Public (Unrestricted)	Public or Unrestricted
Pakistan	Domestic currency per US Dollar	Period average	Annual	1988	18.00329167	Units			Raw data (no derivation)	Overlapping Indicator	TRUE			Public (Unrestricted)	Public or Unrestricted
Pakistan	Domestic currency per US Dollar	Period average	Annual	1989	20.54149167	Units			Raw data (no derivation)	Overlapping Indicator	TRUE			Public (Unrestricted)	Public or Unrestricted
Pakistan	Domestic currency per US Dollar	Period average	Annual	1990	21.707375	Units			Raw data (no derivation)	Overlapping Indicator	TRUE			Public (Unrestricted)	Public or Unrestricted
Pakistan	Domestic currency per US Dollar	Period average	Annual	1991	23.80076667	Units			Raw data (no derivation)	Overlapping Indicator	TRUE			Public (Unrestricted)	Public or Unrestricted
Pakistan	Domestic currency per US Dollar	Period average	Annual	1992	25.08279167	Units			Raw data (no derivation)	Overlapping Indicator	TRUE			Public (Unrestricted)	Public or Unrestricted
Pakistan	Domestic currency per US Dollar	Period average	Annual	1993	28.10718333	Units			Raw data (no derivation)	Overlapping Indicator	TRUE			Public (Unrestricted)	Public or Unrestricted
Pakistan	Domestic currency per US Dollar	Period average	Annual	1994	30.56659167	Units			Raw data (no derivation)	Overlapping Indicator	TRUE			Public (Unrestricted)	Public or Unrestricted
Pakistan	Domestic currency per US Dollar	Period average	Annual	1995	31.64268333	Units			Raw data (no derivation)	Overlapping Indicator	TRUE			Public (Unrestricted)	Public or Unrestricted
Pakistan	Domestic currency per US Dollar	Period average	Annual	1996	36.07868333	Units			Raw data (no derivation)	Overlapping Indicator	TRUE			Public (Unrestricted)	Public or Unrestricted
Pakistan	Domestic currency per US Dollar	Period average	Annual	1997	41.111525	Units			Raw data (no derivation)	Overlapping Indicator	TRUE			Public (Unrestricted)	Public or Unrestricted
Pakistan	Domestic currency per US Dollar	Period average	Annual	1998	45.04666667	Units			Raw data (no derivation)	Overlapping Indicator	TRUE			Public (Unrestricted)	Public or Unrestricted
Pakistan	Domestic currency per US Dollar	Period average	Annual	1999	49.50069158	Units			Raw data (no derivation)	Overlapping Indicator	TRUE	T		Public (Unrestricted)	Public or Unrestricted
Pakistan	Domestic currency per US Dollar	Period average	Annual	2000	53.6481865	Units			Raw data (no derivation)	Overlapping Indicator	TRUE			Public (Unrestricted)	Public or Unrestricted
Pakistan	Domestic currency per US Dollar	Period average	Annual	2001	61.92716167	Units			Raw data (no derivation)	Overlapping Indicator	TRUE			Public (Unrestricted)	Public or Unrestricted
Pakistan	Domestic currency per US Dollar	Period average	Annual	2002	59.72378167	Units			Raw data (no derivation)	Overlapping Indicator	TRUE			Public (Unrestricted)	Public or Unrestricted
