Country Name,Time,"Inflation, consumer prices (annual %) ",Broad money growth (annual %) ,Food imports (% of merchandise imports) ,GDP growth (annual %),OBS_VALUE(ER),Crude oil Brent($/bbl  Real)
Pakistan,1980,11.93823091,15.69720926,13.02617334,10.21570404,9.9,58.09
Pakistan,1981,11.87991359,11.52467695,14.05110459,7.920763572,9.9,56.17
Pakistan,1982,5.903528784,21.8310521,13.5746001,6.5374868,11.84746667,52.75
Pakistan,1983,6.3620335,20.90945872,14.02661639,6.778378339,13.116975,48.37
Pakistan,1984,6.087166736,4.647626744,17.08085039,5.065205605,14.04633333,47.75
Pakistan,1985,5.614839218,14.7465548,18.88957157,7.592114699,15.92839167,45.79
Pakistan,1986,3.506414248,16.07270564,17.84973459,5.501653664,16.64750833,21.52
Pakistan,1987,4.681218546,16.40352841,13.80618117,6.452343025,17.3988,24.38
Pakistan,1988,8.837937018,7.70296261,16.336557,7.62527878,18.00329167,18.69
Pakistan,1989,7.844264737,7.400918113,14.439141,4.959768894,20.54149167,22.88
Pakistan,1990,9.052131553,11.64367081,17.35378521,4.458586815,21.707375,28.65
Pakistan,1991,11.79127034,18.94431288,12.15745616,5.061567759,23.80076667,24.5
Pakistan,1992,9.509041462,29.3005626,15.07939671,7.705897817,25.08279167,23.14
Pakistan,1993,9.97366476,18.13344705,14.21814615,1.757747698,28.10718333,19.72
Pakistan,1994,12.36819439,17.37060198,15.404367,3.737415558,30.56659167,18.91
Pakistan,1995,12.34357852,13.80979579,17.50423865,4.962609146,31.64268333,18.57
Pakistan,1996,10.37380859,20.06856105,14.8156869,4.846581287,36.07868333,22.9
Pakistan,1997,11.37549289,19.91179679,18.57495504,1.014396011,41.111525,22.22
Pakistan,1998,6.228004154,7.859379338,20.28508511,2.550234298,45.04666667,15.48
Pakistan,1999,4.142637181,4.314225268,16.36689555,3.660132739,49.50069158,22.1
Pakistan,2000,4.366664513,12.12515822,13.76728194,4.260088011,53.6481865,35.54
Pakistan,2001,3.148261446,14.43024739,12.20887971,3.651350171,61.92716167,31.89
Pakistan,2002,3.290344726,17.61644821,11.88237165,2.594816684,59.72378167,32.99
Pakistan,2003,2.914134701,17.85794432,11.28706972,5.401310873,57.75199667,36.24
Pakistan,2004,7.444624693,18.89539952,10.00146149,7.83125557,58.25786333,45.04
Pakistan,2005,9.06332737,16.37287366,10.40091343,7.276574436,59.514475,62.07
Pakistan,2006,7.921084401,42.90887402,10.2590317,6.051637676,60.271335,72.71
Pakistan,2007,7.598684411,17.4383547,8.863541635,4.44481434,60.73851583,76.18
Pakistan,2008,20.28612109,6.524702142,11.85046959,2.120441043,70.40803333,94.95
Pakistan,2009,13.64776506,17.61005693,11.3416776,3.472550596,81.71289167,64.13
Pakistan,2010,12.93887056,14.56581582,13.044965,1.501717522,85.19381633,79.64
Pakistan,2011,11.91609271,12.60262183,11.94970953,2.680116854,86.34338333,99.91
Pakistan,2012,9.682351861,17.39501992,11.05996232,3.027583911,93.39519722,101.57
Pakistan,2013,7.692156119,13.31564762,10.20374491,4.36686505,101.6288992,99.19
Pakistan,2014,7.189384028,11.54371484,11.72852878,4.116428172,101.1000884,91.4
Pakistan,2015,2.529328173,12.18098004,12.09752334,4.217942096,102.7692716,53.51
Pakistan,2016,3.765119164,13.61604898,12.50835057,6.573838285,104.769117,46.84
Pakistan,2017,4.08537368,9.931321497,11.80993043,4.432625907,105.4551621,55.91
Pakistan,2018,5.078057259,9.834391659,10.03770896,6.151702611,121.8240689,69.77
Pakistan,2019,10.5783618,11.67302963,10.73618553,2.497636929,150.0362538,64.37
Pakistan,2020,9.739993139,15.63270855,14.99380499,-1.274087443,161.8384797,43.21
Pakistan,2021,9.496210561,10.41935806,12.86849895,6.513885759,162.9062537,64.39
Pakistan,2022,19.87385996,7.411518601,13.20919413,4.778106869,204.8671875,84.99
Pakistan,2023,30.76812807,16.25306318,16.11072824,-0.039692523,280.3561117,72.41
