Country Name,Time,"Inflation, consumer prices (annual %) ",Broad money growth (annual %) ,Food imports (% of merchandise imports) ,GDP growth (annual %),OBS_VALUE(ER),OBS_VALUE(REER),Crude oil Brent($/bbl  Real),"Crude oil, Brent(Nominal)"
Pakistan,1980,11.93823091,15.69720926,13.02617334,10.21570404,9.9,209.3245245,58.09,($/bbl)
Pakistan,1981,11.87991359,11.52467695,14.05110459,7.920763572,9.9,237.5312472,56.17,37.89
Pakistan,1982,5.903528784,21.8310521,13.5746001,6.5374868,11.84746667,217.573659,52.75,36.68
Pakistan,1983,6.3620335,20.90945872,14.02661639,6.778378339,13.116975,210.1133061,48.37,33.42
Pakistan,1984,6.087166736,4.647626744,17.08085039,5.065205605,14.04633333,214.5747192,47.75,29.83
Pakistan,1985,5.614839218,14.7465548,18.88957157,7.592114699,15.92839167,200.4542691,45.79,28.8
Pakistan,1986,3.506414248,16.07270564,17.84973459,5.501653664,16.64750833,165.4815353,21.52,27.33
Pakistan,1987,4.681218546,16.40352841,13.80618117,6.452343025,17.3988,146.3479836,24.38,14.77
Pakistan,1988,8.837937018,7.70296261,..,7.62527878,18.00329167,142.5045672,18.69,18.34
Pakistan,1989,7.844264737,7.400918113,..,4.959768894,20.54149167,133.7250945,22.88,14.97
Pakistan,1990,9.052131553,11.64367081,17.35378521,4.458586815,21.707375,126.6376096,28.65,18.22
Pakistan,1991,11.79127034,18.94431288,12.15745616,5.061567759,23.80076667,123.9289017,24.5,23.68
Pakistan,1992,9.509041462,29.3005626,15.07939671,7.705897817,25.08279167,121.6445785,23.14,20.07
Pakistan,1993,9.97366476,18.13344705,14.21814615,1.757747698,28.10718333,120.0531422,19.72,19.31
Pakistan,1994,12.36819439,17.37060198,..,3.737415558,30.56659167,119.2236794,18.91,17.02
Pakistan,1995,12.34357852,13.80979579,17.50423865,4.962609146,31.64268333,118.5286597,18.57,15.83
Pakistan,1996,10.37380859,20.06856105,14.8156869,4.846581287,36.07868333,115.3062079,22.9,17.07
Pakistan,1997,11.37549289,19.91179679,18.57495504,1.014396011,41.111525,116.9637912,22.22,20.65
Pakistan,1998,6.228004154,7.859379338,20.28508511,2.550234298,45.04666667,118.746163,15.48,19.09
Pakistan,1999,4.142637181,4.314225268,16.36689555,3.660132739,49.50069158,109.8199959,22.1,12.72
Pakistan,2000,4.366664513,12.12515822,13.76728194,4.260088011,53.6481865,107.9072465,35.54,17.81
Pakistan,2001,3.148261446,14.43024739,12.20887971,3.651350171,61.92716167,98.08062788,31.89,28.27
Pakistan,2002,3.290344726,17.61644821,11.88237165,2.594816684,59.72378167,101.6268409,32.99,24.42
Pakistan,2003,2.914134701,17.85794432,11.28706972,5.401310873,57.75199667,98.84531991,36.24,24.97
Pakistan,2004,7.444624693,18.89539952,10.00146149,7.83125557,58.25786333,98.02254557,45.04,28.85
Pakistan,2005,9.06332737,16.37287366,10.40091343,7.276574436,59.514475,100.9768651,62.07,38.3
Pakistan,2006,7.921084401,42.90887402,10.2590317,6.051637676,60.271335,103.7856686,72.71,54.43
Pakistan,2007,7.598684411,17.4383547,8.863541635,4.44481434,60.73851583,102.3279631,76.18,65.39
Pakistan,2008,20.28612109,6.524702142,11.85046959,2.120441043,70.40803333,97.38539934,94.95,72.7
Pakistan,2009,13.64776506,17.61005693,11.3416776,3.472550596,81.71289167,96.48685949,64.13,97.64
Pakistan,2010,12.93887056,14.56581582,13.044965,1.501717522,85.19381633,100,79.64,61.86
Pakistan,2011,11.91609271,12.60262183,11.94970953,2.680116854,86.34338333,102.4229773,99.91,79.64
Pakistan,2012,9.682351861,17.39501992,11.05996232,3.027583911,93.39519722,103.7974277,101.57,110.94
Pakistan,2013,7.692156119,13.31564762,10.20374491,4.36686505,101.6288992,100.8821951,99.19,111.97
Pakistan,2014,7.189384028,11.54371484,11.72852878,4.116428172,101.1000884,107.8170606,91.4,108.86
Pakistan,2015,2.529328173,12.18098004,12.09752334,4.217942096,102.7692716,116.0086068,53.51,98.94
Pakistan,2016,3.765119164,13.61604898,12.50835057,6.573838285,104.769117,119.6683772,46.84,52.37
Pakistan,2017,4.08537368,9.931321497,11.80993043,4.432625907,105.4551621,121.6339928,55.91,44.05
Pakistan,2018,5.078057259,9.834391659,10.03770896,6.151702611,121.8240689,107.1173777,69.77,54.39
Pakistan,2019,10.5783618,11.67302963,10.73618553,2.497636929,150.0362538,97.26647383,64.37,71.07
Pakistan,2020,9.739993139,15.63270855,14.99380499,-1.274087443,161.8384797,97.59492865,43.21,64.03
Pakistan,2021,9.496210561,10.41935806,12.86849895,6.513885759,162.9062537,100.2803789,64.39,42.3
Pakistan,2022,19.87385996,7.411518601,13.20919413,4.778106869,204.8671875,97.06170871,84.99,70.44
Pakistan,2023,30.76812807,16.25306318,16.11072824,-0.039692523,280.3561117,91.3945512,72.41,99.82
Pakistan,2024,12.63253185,..,..,..,278.5807162,102.4832165,70.11,82.62
,,,,,,,,,80.7
,,,,,,,,,
,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,
Last Updated: 04/15/2025,,,,,,,,,
